,Date,rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,paid,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings
0,01/01/2020,1,8 Ball Pool,21632735,500000000.0,4.0,1.2,630.8,0.0,GAME SPORTS,0,16281475.0,2268294.0,1017204.0,425693.0,1640067.0
2,01/01/2020,1,Candy Crush Saga,31367945,1000000000.0,4.0,0.9,1.6,0.0,GAME CASUAL,0,23837448.0,4176798.0,1534041.0,486005.0,1333650.0
3,01/01/2020,1,Clash of Clans,55766763,500000000.0,4.0,0.3,1.0,0.0,GAME STRATEGY,0,43346128.0,5404966.0,2276203.0,971321.0,3768141.0
4,01/01/2020,1,Fishdom,4876844,100000000.0,4.0,1.0,2.9,0.0,GAME PUZZLE,0,3641850.0,439299.0,231737.0,124487.0,439469.0
5,01/01/2020,1,Garena Free Fire- World Series,86273129,500000000.0,4.0,2.1,6.9,0.0,GAME ACTION,0,63546766.0,4949507.0,3158756.0,2122183.0,12495915.0
6,01/01/2020,1,Hill Climb Racing,10188038,500000000.0,4.0,0.4,0.8,0.0,GAME RACING,0,7148370.0,982941.0,607603.0,338715.0,1110407.0
7,01/01/2020,1,Ludo King™,7512316,500000000.0,4.0,4.0,6.5,0.0,GAME BOARD,0,5291589.0,773193.0,369290.0,204053.0,874188.0
8,01/01/2020,1,Roblox,21820451,100000000.0,4.0,2.6,5.7,0.0,GAME ADVENTURE,0,16674013.0,1916826.0,822266.0,423122.0,1984222.0
9,01/01/2020,1,Shadow Fight 3 - RPG fighting game,3170246,100000000.0,4.0,1.2,2.6,0.0,GAME ROLE PLAYING,0,2243868.0,353334.0,177840.0,84957.0,310244.0
10,01/01/2020,1,Subway Surfers,35665901,1000000000.0,4.0,0.5,1.0,0.0,GAME ARCADE,0,27138572.0,3366600.0,1622695.0,814890.0,2723142.0
12,01/01/2020,1,The Sims FreePlay,5541105,100000000.0,4.0,0.2,0.4,0.0,GAME SIMULATION,0,3457057.0,660545.0,377283.0,215335.0,830882.0
13,01/01/2020,1,Tiles Hop: EDM Rush!,2454558,100000000.0,4.0,3.3,7.5,0.0,GAME MUSIC,0,1815983.0,211433.0,119350.0,69277.0,238513.0
14,01/01/2020,1,Toca Life World: Build stories & create your world,1690405,50000000.0,4.0,11.1,26.7,0.0,GAME EDUCATIONAL,0,1191130.0,195192.0,95400.0,50193.0,158487.0
15,01/01/2020,1,Trivia Crack,7334155,100000000.0,4.0,0.4,0.8,0.0,GAME TRIVIA,0,4938889.0,1123053.0,442298.0,187183.0,642730.0
16,01/01/2020,1,Yu-Gi-Oh! Duel Links,2113853,50000000.0,4.0,0.4,0.9,0.0,GAME CARD,0,1541203.0,217812.0,103751.0,54390.0,196694.0
17,01/01/2020,1,Zynga Poker™ – Free Texas Holdem Online Card Games,2582669,50000000.0,4.0,393.4,0.7,0.0,GAME CASINO,0,1821678.0,301722.0,110833.0,52012.0,296421.0
18,01/01/2020,1,كلمات كراش - لعبة تسلية وتحدي من زيتونة,2418119,10000000.0,4.0,1.9,4.4,0.0,GAME WORD,0,2115189.0,109073.0,68740.0,31263.0,93851.0
19,01/10/2020,10,AdVenture Capitalist: Idle Money Management,1583634,10000000.0,4.0,0.3,0.5,0.0,GAME SIMULATION,0,1126714.0,261874.0,87807.0,28370.0,78865.0
20,01/10/2020,10,Baby Panda World,229515,50000000.0,4.0,11.0,23.1,0.0,GAME EDUCATIONAL,0,177112.0,13802.0,8861.0,6241.0,23497.0
21,01/10/2020,10,Bid Wars - Storage Auctions and Pawn Shop Tycoon,3120219,10000000.0,4.0,0.1,0.3,0.0,GAME STRATEGY,0,2040765.0,579613.0,287144.0,79355.0,133340.0
22,01/10/2020,10,Bowling King,2935299,10000000.0,4.0,0.1,0.3,0.0,GAME SPORTS,0,2170300.0,459849.0,176480.0,39384.0,89283.0
23,01/10/2020,10,CSR Racing,2490517,50000000.0,4.0,0.0,0.0,0.0,GAME RACING,0,1948115.0,240253.0,105455.0,35448.0,161244.0
24,01/10/2020,10,DEEMO,552415,5000000.0,4.0,0.1,0.2,0.0,GAME MUSIC,0,461266.0,43525.0,16200.0,7865.0,23556.0
25,01/10/2020,10,Dominoes,1062798,50000000.0,4.0,2.8,6.2,0.0,GAME BOARD,0,829950.0,139476.0,35263.0,14426.0,43680.0
26,01/10/2020,10,Gangstar Vegas: World of Crime,6268377,100000000.0,4.0,0.4,1.0,0.0,GAME ACTION,0,4509647.0,605510.0,319332.0,167792.0,666094.0
27,01/10/2020,10,Hustle Castle: Medieval games in the kingdom,1424463,10000000.0,4.0,0.3,0.7,0.0,GAME ROLE PLAYING,0,956315.0,167107.0,59800.0,39531.0,201708.0
28,01/10/2020,10,Huuuge Casino™ Free Slots & Best Slot Machines 777,755734,10000000.0,4.0,0.4,1.0,0.0,GAME CASINO,0,533316.0,88102.0,42476.0,19261.0,72576.0
29,01/10/2020,10,Ice Age Adventures,1434245,50000000.0,4.0,0.1,0.1,0.0,GAME ADVENTURE,0,943752.0,176055.0,111141.0,53711.0,149584.0
30,01/10/2020,10,Matchington Mansion,1951302,50000000.0,4.0,1.1,2.3,0.0,GAME PUZZLE,0,1406839.0,263363.0,115542.0,47833.0,117722.0
31,01/10/2020,10,Minecraft,4100452,10000000.0,4.0,234.3,2.4,7.49,GAME ARCADE,1,3324435.0,317144.0,135048.0,65677.0,258146.0
